	row	fr_Jaccard	en_Jaccard	ru_Jaccard	ru_lex	ru_comp	fr_lex	fr_comp	en_lex	en_comp
S	шум	0	0	0	гвалт, галдеж, гомон, гам, грай	децибел, звук, вибрация, грохот	bruit, charivari, chahut, brouhaha	fracas, tapage, grincement, bruissement, vacarme, craquement, bourdonnement, clapotement, tumulte, cliquetis	noise, ado, roar	sound, loud, honking, growling, mooing, whiffle, banging, snorting, shushing, keening
V	гаснуть	0,3	0,03	0	догорать, меркнуть, потухать, тухнуть, угасать, погасать, затухать	п, о, г, а, с, а, т, ь	s'éteindre, défaillir, s'obscurcir	s’éteindre, s'allumer, s'eacuteteindre, s'éteignant, s'affaiblir, s'amortir, s'éteignait, s'anéantir, s'évanouir, s'obscurcir	fade, go out, die away, wither, blow out, darken	recede, fading, street-light, glow, skeeter, tail-light, out-of-focu, blankness, haziness, half-dark
V	начинаться	0,1	0,1	0	наступать, возникать, рождаться, образовываться, появляться, наставать	стартовать, продолжаться, продлиться, заканчиваться	commencer, s'annoncer, débuter, s'engager	finir, terminer, continuer, recommencer, commence, s'entamer, achever, commencé, commencerait, styler	begin, start, commence, launch, initiate, initialize	start, continue, beginning, commence, hintons, gun-fire, faele, futilely, flintcomb-ash, half-consciously
S	ложь	0,6	0	0,4	вранье, неправда, обман	вранье, дезинформация, лицемерие, фейк, выдумка	fausse, contre-vérité, contrevérité, fausseté, imposture, mensonge	menteuse, mensongère, vraie, calomnieuse, fâcheuse, fallacieuse, très-fausse, l’infernale, mortifiante, faux	lie, falsehood, falseness, deception, fraud	engang, lay, half-undressed, claudettina, doggo, prie-dieu, full-nerved, coffine, tractor-shed, harrumph
S	стадо	0	0	0	рой, стая, ватага, табун, косяк, гурт	поголовье, скот	harde, manade, troupeau, stock, ruche	s'ébrouant, antilope, springbok, quatre-champs, boqueteau, aboyante, l’ourse, déferla, détalant, cépée	herd, flock, school, stock, swarm, hive, pack	cattle, long-horned, llandinabo, sheep, cow, deer, purebred, kudu, wildebeest, sambar
										
		0,28	0,14	0,2008666667						
										
	S	0,28	0,08	0,34	0,2333333333					
	A	0,0666666667	0,28	0,0266666667	0,1244444444					
	V	0,3714285714	0,1228571429	0,1761428571	0,2234761905					
